,Provider Name,Complete Address,Contact No.
432,CLINICA ANTIPOLO HOSPITAL & WELLNESS CENTER,SEN. L. SUMULONG MEMORIAL CIRCLE (FKA. TAKTAK RD.) BRGY DELA PAZ ANTIPOLO CITY RIZAL,(02) 8695-9480 TO 87/8470-4693/8570-9244
433,POLYMED LABORATORY (HERMOSA BRANCH - MAIN),"1155 2ND FLOOR, HERMOSA ST. COR ABAD SANTOS  MANILA METRO MANILA",(02) 256-3087
434,H VILL HOSPITAL,"82 J.P. RIZAL ST., RODRIGUEZ BRGY. MANGGAHAN MONTALBAN RIZAL",(02) 8997-9627/8997-1284
435,ISIAH MULTI-SPECIALTY CLINIC AND DIAGNOSTIC LABORATORY,RAMON MAGSAYSAY ST. BRGY. LIWAYWAY ODIONGAN ROMBLON,(042) 567-2183 / (0909) 078-1711
436,METRO SAN JOSE MEDICAL CENTER,BANAY-BANAY 2ND  SAN JOSE BATANGAS,(043) 726-0207
437,ORTHO-RHEUMA-REHAB CLINIC - MEGACORRRS INC.,"UNIT 552, BLDG. A, 5TH FLOOR SM MEGAMALL, DLS-STI MEGA CLINIC, EDSA COR DOÃ‘A JULIA VARGAS AVE. BRGY. WACK WACK MANDALUYONG CITY METRO MANILA",(02) 8637-9661 TO 68
438,BATAAN PENINSULA MEDICAL CENTER,J.P. RIZAL ST. BRGY. SAN RAMON DINALUPIHAN BATAAN,(047) 481-2173/(047) 481-5969
439,BICOL ACCESSHEALTH CENTRUM,CENTRAL BUSINESS DISTRICT II BRGY. TRIANGULO PANG NAGA CITY CAMARINES SUR,(054) 871-3377 / 473-2242 / 473-2243
440,ST. JOHN HOSPITAL,PANGANIBAN DRIVE NAGA CITY CAMARINES SUR  NAGA CITY CAMARINES SUR,(054) 473-8502 / 473-8919
441,HI-PRECISION DIAGNOSTICS (PASIG BRANCH),"UNITS 102 & 202, ARMAL BUILDING 2, C. RAYMUNDO AVE. COR F. LEGASPI ST. MAYBUNGA PASIG CITY METRO MANILA",(02) 8628-3277 / 8642-7045
442,DLR MEDICAL CLINIC & DIAGNOSTIC CENTER (CALATAGAN BRANCH),APACIBLE ST. POBLACION 2  CALATAGAN BATANGAS,(043) 419-0025
443,DLR MEDICAL CLINIC & DIAGNOSTIC CENTER (BALAYAN BRANCH),ERMITA  BALAYAN BATANGAS,(043) 407-0850
444,DIAGNOSTIC CARE AND LABORATORY SERVICES (DIAGCARE LARENA BRANCH),6487 B - 1 MA CRISTINA STREET DUMAGUETE CITY NEGROS ORIENTAL  DUMAGUETE CITY NEGROS ORIENTAL,(035) 421-0259
446,THE HEALTH CENTRUM,TEODORICA AVENUE BRGY BANICA ROXAS CITY CAPIZ,(036) 621-9088
447,HQ LAB NI DOK DIAGNOSTICS CORP. (FORMERLY HYATT DIAGNOSTIC SYSTEM INC.),"ANGKALIAN BLDG.,  NATIONAL HIGHWAY BRGY. LAGAO GENERAL SANTOS CITY  COTABATO",(083) 301-4605
448,ESMED LAB DIAGNOSTIX,"DOOR 2 2ND FLOOR ELIMAR BLDG., NHA BUHANGIN  DAVAO CITY DAVAO DEL SUR",(082) 284-1545
449,ANECITO PESANTE MEMORIAL HOSPITAL,CORNER PIONEER & TIZA STREETS POBLACION 1 MIDSAYAP COTABATO,(064) 229-9177
450,"MINDANAO ORTHOPAEDIC SPORTS & REHABILITATION CENTER, INC.(MOSARC)",CM RECTO COR. M ROXAS STREET  DAVAO CITY DAVAO DEL SUR,(082) 305-4412
451,"SAN FERNANDINO HOSPITAL, INC","BRGY. DOLORES, MCARTHUR HIGHWAY  SAN FERNANDO CITY PAMPANGA",(045) 860-1989/(045) 961-3777/(045) 961-1406
452,KORONADAL DIAGNOSTIC CENTER AND LABORATORY,JUDGE ALBA CORNER AGUINALDO STREETS POBLACION KORONADAL CITY COTABATO,(083) 228-3666
453,EDGT LAB-TECH DIAGNOSTIC CENTER (TENEJERO BRANCH),"BUNO BLDG., KINATAWAN ROAD, TENEJERO  BALANGA CITY BATAAN",(047) 791-4568 / 791-4139
454,DIAGNOSTIC CARE AND LABORATORY SERVICES (DIAGCARE - MAIN) ,6487 B - 1 MA CRISTINA STREET DUMAGUETE CITY NEGROS ORIENTAL  DUMAGUETE CITY NEGROS ORIENTAL,(035) 421-0259
455,EDGT LAB-TECH DIAGNOSTIC CENTER (SAN JOSE BRANCH),"RUEDA BLDG., CAPITOL DRIVE, SAN JOSE  BALANGA CITY BATAAN",(047) 791-4139 /  791-4568
456,HEALTH WISE DIAGNOSTIC LABORATORY INC. (ON-SITE APE),"1417 B RICHTOWN TOWER, MAYHALIGUE ST. BRGY. STA. CRUZ MANILA METRO MANILA",(02) 251-2079
457,"DAVAO MEDIQUEST HOSPITAL, INC.",MC ARTHUR HIGHWAY LIZADA TORIL DAVAO CITY DAVAO DEL SUR,(082) 291-0229/(082) 291-0230
458,DIAGNOSTIC CARE AND LABORATORY SERVICES (DIAGCARE MAXIMA LIMQUIACO BRANCH),6487 B1 MA. CRISTINA STREET DUMAGUETE CITY NEGROS ORIENTAL  DUMAGUETE CITY NEGROS ORIENTAL,(035) 421-0259
459,DIAGNOSTIC CARE AND LABORATORY SERVICES (DIAGCARE TANJAY BRANCH),"6487 B1, MA, CRISTINA STREET, DUMAGUETE CITY, NEGROS ORIENTAL  DUMAGUETE CITY NEGROS ORIENTAL",(035) 421-0259
460,TRANS-GLOBAL HEALTH SYSTEMS INC,"2ND FLOOR G & A BLDG, 2303 CHINO ROCES EXTENSION BRGY. MAGALLANES MAKATI CITY METRO MANILA",(02) 895-5411
461,LORMA LIFECHECK CLINIC,"NATIONAL HIGHWAY, SEVILLA  SAN FERNANDO LA UNION PROVINCE",(072) 607-3419
462,AISAH MEDICAL HOSPITAL,B. PULMONES ST. BRGY. SAN PEDRO PAGADIAN CITY ZAMBOANGA DEL SUR,(062) 215-4413/(061) 214-5780
463,"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER - BAYPOINTE, INC.","BLOCK 8 LOT 1A & 1B DEWEY AVE. OLONGAPO CITY,   OLONGAPO CITY ZAMBALES",(047) 250-6070
464,MARITIME REHABILITATION AND PHYSICAL THERAPY CENTER OF THE PHILIPPINES (FORMERLY HELPING ARMS MEDICA,G/F PWU INTERNATIONAL LEON GUINTO ST. MALATE MANILA METRO MANILA,(02) 3498-1553
465,"THE BLACK NAZARENE HOSPITAL, INC",29 BONOAN ST. BRGY. 2  SAN NICOLAS ILOCOS NORTE,(077) 773-1757
466,LACEDA MEDICAL CLINIC,"BUILDING 494, REMY FIELD, 2ND FLOOR, SUBIC BAY FREEPORT ZONE  OLONGAPO CITY ZAMBALES",(047) 250-2380/(047) 224-5904
467,LAOAG CITY GENERAL HOSPITAL,NALBO BRGY. 46 LAOAG CITY ILOCOS NORTE,(077) 772-8826
468,MEDICAL CENTER IMUS,"DIVERSION ROAD, PALICO IV  IMUS CAVITE",(046) 472-2220 / 472-3549 / 472-3988 / 472-3031
469,SANTISSIMA TRINIDAD HOSPITAL,"MABINI, PINAGBAKAHAN  MALOLOS CITY BULACAN",(044) 791-7331/(044) 790-6528
470,THE ISLAND CLINIC BORACAY AND DIAGNOSTIC CENTER (AMBULONG BRANCH),"1040 MAIN ROAD, AMBULONG  MALAY AKLAN",(036) 288-1431
471,PAGADIAN DOCTORSâ€™ HOSPITAL,RIZAL AVENUE LAMBIA DISTRICT  PAGADIAN CITY ZAMBOANGA DEL SUR,(062) 214-3943
472,HI-PRECISION DIAGNOSTICS (MACTAN BRANCH),M V PATALINHUG JR. AVENUE BASAK CEBU CITY CEBU,(032) 520-1142
473,JUANA MATERNITY CLINIC & MEDICAL-SURGICAL CLINIC,"WHITE ROSE, YATI  LILOAN CEBU",(032) 407-5129
475,HOLY CHILD CLINIC (PCP),HIGHWAY ROAD TABUK MANDAUE CITY CEBU,(032) 345-8061
476,ACEBEDO GENERAL HOSPITAL,849 GENERAL LUIS ST. BRGY. BAGBAGUIN CALOOCAN CITY METRO MANILA,(02) 983-5363/(02) 404-4181
477,TALON GENERAL HOSPITAL,F. TAÃ‘EDO ST.  TARLAC TARLAC,(045) 982-5415 - 16/(045) 982-1400/(045) 982-0239
478,DR. ZEN HEALTHCARE INC. (FORMERLY MINUTE HEALTHCARE -TARLAC),L CORTEZ COR PLARIDEL ST SAN NICOLAS  CONCEPCION TARLAC,(045) 923-0692
479,CHRIST THE KING BORDADOR DIAGNOSTIC CLINIC,"39 GE PACHECO ST., CALVARIO  MEYCAUAYAN BULACAN",(044) 844-7478/(044) 935-2996
480,REHABILITATION CLINIC,CDO POLYMEDIC GENERAL HOSPITAL A. VELEZ ST. CAGAYAN DE ORO CITY CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 880-1373
481,CAGAYAN CAPITOL DOCTORS CORPORATION,"SAN PEDRO, GUSA  CAGAYAN DE ORO CITY MISAMIS ORIENTAL",(08822) 723-215/(08822) 712-417
483,JAMELARIN HOSPITAL,"RIZAL AVENUE, PUROK BAGONG SILANG, BALANGASAN DISTRICT  PAGADIAN CITY ZAMBOANGA DEL SUR",(062) 215-3295/(062) 214-2442
485,ZAMORAS MEDICAL CLINIC (PCP),TADECO ROAD  PANABO CITY DAVAO DEL NORTE,(084) 628-5849
486,LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL,ANCHETA CORNER BUCANEG ST.  BRGY. CATBANGEN SAN FERNANDO LA UNION PROVINCE,(072) 700-4354/(072) 607-8340/(072) 607-8339
487,PUPSI* ULTRASOUND AND LABORATORY SERVICES,"3rd level, Market! Market!, Bonifacio, Global City,Taguig, Metro Manila  TAGUIG CITY METRO MANILA",(02) 8856-4955 TO 56
488,R B LIRIO MEDICAL & DIAGNOSTIC CLINIC (FORMERLY RML DIAGNOSTIC & INDUSTRIAL CLINIC),NATIONAL ROAD BRGY MAYAPA CALAMBA CITY LAGUNA,(049) 576-2804 / 576-2807
489,CLINICA DEMAALA (PCP),1798 QUEZON STREET BRGY. NEW PANDAN PANABO CITY DAVAO DEL NORTE,(084) 822-1234
490,SSMC SATELLITE HOSPITAL,"GATEWAY BUSINESS PARK,  BRGY. JAVALERA  GENERAL TRIAS CAVITE",(046) 433-0210
491,"SSMCHEALTH, INC. (ROSARIO)","2F ANDICO BLDG,  GENERAL TRIAS DRIVE ROSARIO CAVITE",(02) 8775-7272 / (046) 484-4428
492,"GILLAMAC DIAGNOSTIC AND MEDICAL LABORATORIES, INC.",169 SANCIANGKO STREET  CEBU CITY CEBU,(032) 418-4090
493,CANDON ST. MARTIN DE PORRES HOSPITAL,25 DE MARZO ST SAN ANTONIO  CANDON CITY  ILOCOS SUR,(077) 742-6464 TO 67
494,DE OCAMPO MEMORIAL MEDICAL CENTER,2921 NAGTAHAN ST. STA. MESA MANILA METRO MANILA,(02) 8715-1891 TO 94
495,ACC PHYSICAL THERAPY CLINICS (CAVITE BRANCH - MAIN),"MEDICAL ARTS COMPOUND, BAUTISTA HOSPITAL, P. BURGOS AVENUE BRGY. CARIDAD CAVITE CITY CAVITE",(046) 484-8604
496,MALOLOS SAN VICENTE HOSPITAL,"LUCERO ST., CANIOGAN   MALOLOS CITY BULACAN",(044) 791-2892/(044) 791-5760
497,STATLAB INC. ,FANCOM MEDICAL PLAZA  ILOILO CITY ILOILO,(033) 336-2693/(033) 508-6266
498,DR. RONALD ENRIQUEZ MEDICAL CLINIC (PCP),RM 108 DEIPARINE BLDG. BRGY. BULACAO TALISAY CITY CEBU,(032) 237-7511
499,MA. TRINITY DIAGNOSTIC CENTER,"NATIONAL ROAD, PALTAO PALTAO PULILAN BULACAN",(044) 676-1068
500,OUR LADY OF MERCY GENERAL HOSPITAL,"DOÃ‘A REMEDIOS TRINIDAD HIGHWAY, BRGY LONGOS PULILAN BULACAN",(044) 764 - 7872 / (044) 305 - 6385
501,"GRACE GENERAL HOSPITAL, INC",LOT 2 BLOCK B BRGY. KAYPIAN QUIRINO SAN JOSE DEL MONTE C BULACAN,(02) 514-9417/(02) 782-3893/(02) 782- 4018
502,CEBU DIGITAL HEARING SOLUTION INC.,"UNIT # 11 CENTURY PLAZA COMPLEX, JUANA OSMENA ST.  CEBU CITY CEBU",(032) 253-6189
503,TOTAL HEALTH CHECK DIAGNOSTICS  CORP.,J. LLORENTE STREET BRGY. CAPITOL SITE CEBU CITY CEBU,(032) 268-8728 / 412-3973
504,GEOLINGOâ€™S MEDICAL CLINIC (LA CARLOTA - PCP),"GEMELYNNS PHARMACY, YUNQUE STREET  LA CARLOTA CITY NEGROS OCCIDENTAL",(034) 476-9645
505,GEOLINGOâ€™S MEDICAL CLINIC (BACOLOD BRANCH - PCP),"RM 201 NORTHPOINT BLDG., B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL",(034) 434-8586
506,BANLUTAS MEDICAL CLINIC (PCP),"30 FGH BLDG.,LEGASPI ST. CORNER PELAYO ST.  DAVAO CITY DAVAO DEL SUR",(082) 286-0520
507,DR. LIMâ€™S CLINIC AND HOSPITAL,"POBLACION OCCIDENTAL, CIRCUMFERETIAL RD.  VALENCIA BOHOL",(038) 532-0043/(038) 532-1442
508,"TL ESTACIO CLINICAL LABORATORY, INC.",198 VETERANS AVENUE BRGY. ZONE 3 ZAMBOANGA CITY ZAMBOANGA DEL SUR,(062) 991-6983
509,ACC PHYSICAL THERAPY CLINICS (NOVELETA BRANCH),"COMMERCIAL UNIT #8, PUREGOLD BLDG. MAGDIWANG HIGHWAY BRGY. MAGDIWANG NOVELETA CAVITE",(046) 438-8303
510,ACCUCELL DIAGNOSTIC CENTER,"ROOM 219-221 FEMAR BUILDING, M.L. QUEZON ST.  BRGY. SAN ROQUE ANTIPOLO CITY RIZAL",(02) 8571-9110/8696-6751
511,BETTER CARE DIAGNOSTIC LABORATORY,CAPITOL DRIVE COR SAMPAGUITA ST.  BRGY. SAN JOSE BALANGA CITY BATAAN,(047) 237-0729 / 791-2033
512,AVALON DIAGNOSTIC CENTER AND MULTI-SPECIALTY CLINIC (FORMERLY CAINTA SACRED HEART MEDICAL CLINIC),"B3 L20 CAMIA ST., VENICE HOMES SUBDIVISION BRGY. SAN ANDRES CAINTA RIZAL",(02) 8656-0887 / 8656-0414
513,ALABANG MEDICAL CLINIC (ALMANZA BRANCH),476 REAL ST.  LAS PIÃ‘AS CITY METRO MANILA,(02) 8800-3840 / 8801-4535
514,VILLANUEVA CLINICAL LABORATORY (BAGO BRANCH),"2ND STREET, MARHIL SUBD. BAGO CITY BAGO CITY NEGROS OCCIDENTAL",(034) 461-0706
515,METRO DAVAO MEDICAL & RESEARCH CENTER INC.,KM. 4 J. P. LAUREL AVENUE BRGY. BAJADA DAVAO CITY DAVAO DEL SUR,(082) 272-7771 to 80
516,SAINT JUDE GENERAL HOSPITAL,CALCETA ST. COR. CPG NORTH AVENUE  TAGBILARAN CITY BOHOL,(038) 412-3134
517,"CURIE DIAGNOSTICS LABORATORY, INC.",STA. CATALINA ST.  DUMAGUETE CITY NEGROS ORIENTAL,(035) 225-7390
518,DPDS MEDICAL LABORATORY,"ALIDON BLDG., DAVAO-BUKIDNON HIGHWAY CALINAN DAVAO CITY DAVAO DEL SUR",(082) 295-6946
519,CLINICA SPECIALISTA HEALTH SERVICE COOPERATIVE (FORMERLY CLINICA SPECIALISTA INC),TIANO-MABINI STREETS  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 851-1000
520,"TAGUM EYE SURGICENTER, INC.","GCA BLDG. NATIONAL HIGHWAY, VISAYAN VILLAGE TAGUM CITY TAGUM CITY DAVAO DEL NORTE",(084) 218-8421/(084) 218 8518
521,"BIOANALYTICAL LABORATORY AND DIAGNOSTIC CLINIC, INC.",KM. 14 PANACAN  DAVAO CITY DAVAO DEL SUR,(0932) 5604891
522,BALAYAN BAYVIEW HOSPITAL & MEDICAL CENTER,BRGY. LANGGANAN  BALAYAN BATANGAS,(043) 211-3814/(043) 211-6734
523,BOROUGH MEDICAL CARE INSTITUTE (SUBIC BRANCH),"1021 HARBOR POINT MALL, RIZAL HIGHWAY, SUBIC FREEPORT  OLONGAPO CITY ZAMBALES",(047) 252-7919 (047)250-2404 09178038504
524,REHABWISE PAIN AND MOBILITY CLINIC,"3RD FLOOR BUILDING, F, NORTHLINK SM CITY NORTH EDSA QUEZON CITY METRO MANILA",(02) 8352-2917 / 0922-937-0442
525,"SAINT GABRIEL MEDICAL CENTER, INC.",ARCHBISHOP REYES COR G PASTRANA STREET  KALIBO AKLAN,(036) 262-8814
526,ISAAC AND CATALINA MEDICAL CENTER,"CALERO ST., IBAYO  BALANGA CITY BATAAN",(047) 237-1435 TO 39
527,VALMORES MEDICAL CLINIC (PCP),A AGUILAR STREET POBLACION VALENCIA CITY BUKIDNON,(088) 828-1111
528,STA. CECILIA MEDICAL CENTER,G-016 NATIONAL ROAD PALANGINAN  IBA CITY ZAMBALES,(047) 811-3317
529,THE MEDICAL CITY CLINIC (SM NORTH EDSA BRANCH),UPPER GROUND FLOOR SM NORTH THE ANNEX BUILDING EDSA QUEZON CITY METRO MANILA,(02) 8441-2919 / 8709-8175 / 8441-2284
530,DIVINE GRACE MEDICAL CENTER,BYPASS ROAD BRGY. TEJERO GENERAL TRIAS CAVITE,(046) 489-2224 / 489-2225 / 489-2226 / 584-4938
531,METRO RIZAL DOCTORS HOSPITAL AND HEALTH SERVICES COOPERATIVE,156 MARICK DRIVE MARICK SUBD BRGY STO DOMINGO CAINTA RIZAL,(02) 8251-6922 LOC 115
532,MERIAN DIAGNOSTIC LABORATORY,"2468 ST. JOHN ST., VILLENA SUBD. SAN VICENTE,  APALIT PAMPANGA",(045) 302-9892
533,NANGKA MULTI-SPECIALTY CLINIC,"8 ilang ilang st Twinville Nangka, Nangka, Marikina, Metro Manila  MARIKINA CITY METRO MANILA",(02) 473-6320
534,NOTRE DAME HOSPITAL AND SCHOOL OF MIDWIFERY (READER`S FEE),SINSUAT DRIVE ROSARY HEIGHTS COTABATO CITY MAGUINDANAO,64
535,VILLANUEVA CLINICAL LABORATORY (LA CARLOTA BRANCH),GURREA LA PAZ STREET LA CARLOTA CITY LA CARLOTA CITY NEGROS OCCIDENTAL,(034) 460-2774
536,VILLANUEVA CLINICAL LABORATORY (KABANKALAN BRANCH),"Puer Sanctus Bldg., GUANZON ST. BRGY. 1 KABANGKALAN NEGROS OCCIDENTAL",(034) 471-0013
537,PACIFIC GLOBAL MEDICAL CENTER,LOT-2B MINDANAO AVE BRGY TALIPAPA QUEZON CITY METRO MANILA,(02) 7901-4941
538,GEMMA M. SERRANO OB GYN CLINIC,"SUITE 202 GONZALES-GIMENO BLDG. 1, ROXAS AVENUE  ILIGAN CITY LANAO DEL NORTE",(063) 221-3111
539,BMCDC HEALTHCARE INC. (LANANG BRANCH),"UNIT 117 & 118 NOVA TIERRA SQUARE, BO PAMPANGA LANANG  DAVAO CITY DAVAO DEL SUR",(082) 233-0035
540,BMCDC HEALTHCARE INC. (MATINA BRANCH),"JLL BLDG. STO.NINO VILLAGE, MC ARTHUR HI-WAY MATINA DAVAO CITY DAVAO DEL SUR",(082) 284-5049
541,PINAMALAYAN DOCTORS HOSPITAL,FRANCISCO ST. MARFRANCISCO  PINAMALAYAN ORIENTAL MINDORO,(043) 284-4383 / 433-1220
542,SALCEDO MEDICAL  SURGICAL CLINIC AND LABORATORY,P BURGOS STREET PAG ASA SAN JOSE OCCIDENTAL MINDORO,(0999) 994-2390
543,TANZA FAMILY GENERAL HOSPITAL AND PHARMACY,NIA ROAD DAANG AMAYA TANZA  TANZA CAVITE,(046) 437-7244
545,ST. MAGDALENE HOSPITAL,BONIFACIO ST SAN JOSE OCCIDENTAL MINDORO  SAN JOSE OCCIDENTAL MINDORO,(043) 457-0104
547,"DR. LORENZO B. PRINCIPE CLINIC & DRUGSTORE, INC.",RAMON MAGSAYSAY STREET PUROK 9 CALINAN DAVAO CITY DAVAO DEL SUR,(082) 295-0233
548,MENDERO MEDICAL CENTER,A TAN STREET PITOGO CONSOLACION CEBU,(032) 236-0091
549,LIFELAB DIAGNOSTICS INC.,"2/F TSI BLDG., OUANO AVENUE, NORTH RECLAMATION AREA  MANDAUE CITY CEBU",(032) 420-9066 / 236-3171
550,MAXIHEALTH DIAGNOSTIC AND MEDICAL GROUP INC. (FORMERLY OCCUMEDICA HEALTH CARE SYSTEM CORP.),1045 GOVERNOR DRIVE BRGY. MADUYA CARMONA  CAVITE,(046) 430-3456 / (02) 330-4173
551,LUNA GOCO MEDICAL CENTER,BRGY. LALUD  CALAPAN ORIENTAL MINDORO,(043) 228-2473 / (043) 276-7277 / (043) 286-7728
552,THE MEDICAL CITY CLINIC (SM - MASINAG BRANCH),2ND FLOOR SM CITY MASINAG BRGY MAYAMOT  ANTIPOLO CITY RIZAL,(02) 8636-1642 / 8470-8248
553,OFELIA L MENDOZA MATERNITY & GENERAL HOSPITAL,"15 PASEO DEL CONGRESO ST, MOJON ROAD  MALOLOS CITY BULACAN",(044)794-7113
554,JESUS THE GOOD SHEPHERD HOSPITAL INC.,NATIONAL ROAD BRGY. POBLACION PULILAN BULACAN,(044) 769-0292
555,BATANGAS HEARING AND DIZZINESS CENTER INC.,"2F CITYLAB BLDG., APACIBLE ST. BRGY. 10 BATANGAS CITY BATANGAS",(043) 722-0376
556,EUHEALTH CARE DIAGNOSTIC LABORATORY,"DOOR 4 & 5 DELGAR COMPLEX, J P LAUREL AVENUE BRGY. BAJADA DAVAO CITY DAVAO DEL SUR",(082) 227-8182
557,JBL SPECIALTY CLINIC (PCP),OSMENA BLVD.  SAN JOSE ANTIQUE,(036) 540-9428
558,ISABELA UNITED DOCTORS MEDICAL CENTER INC.,NATIONAL HIGHWAY BRGY. CABARUAN CAUAYAN ISABELA PROVINCE,(078) 652-4177
559,PLT-LUIS A TIAM MEDICAL CENTER,BASCARAN SOLANO  SOLANO NUEVA VIZCAYA,(078) 808-0042
560,GLOBAL MULTISPECIALTY HEALTH AND WELLNESS CLINIC,"FCCG MANSION UNIT 102, 113 REV AGLIPAY ST BRGY PAG ASA MANDALUYONG CITY METRO MANILA",(02) 8534-9208 / 8935-7288
561,GLOBAL MULTISPECIALTY HEALTH AND WELLNESS CLINIC-MANILA,1656 ANGEL LINAO ST  MANILA METRO MANILA,(02) 8935-7288
562,"SAN JOSE HOSPITAL AND MEDICAL CENTER, INC. (CAVITE BRANCH)","Mindanao Ave, General Mariano Alvarez, Cavite  GENERAL MARIANO ALVA CAVITE",(046) 542-0045 TO 46
563,DIONISIO M CORNEL MEDICAL CENTER INC.,8001 MASINAG MARCOS HIGHWAY  BRGY. MAYAMOT ANTIPOLO CITY RIZAL,(02) 8645-1011
564,SACRED HEART HOSPITAL OF MALOLOS INC.,DR PERALTA STREET GINHAWA SUBDIVISION   MALOLOS CITY BULACAN,(044) 791-0311 LOC 403 / (044) 794-4744 / 794-7136
565,THE MEDICAL CITY CLINIC (WALTERMART - BICUTAN BRANCH),G/F WALTERMART BICUTAN KM 16 MANALAC AVENUE COR EAST SERVICE ROAD BRGY SAN MARTIN DE P PARAÃ‘AQUE METRO MANILA,(02) 8887-5600 / 8893-2027
566,THE MEDICAL CITY CLINIC (SM - SUCAT BRANCH),3/F BLDG. A SM CITY SUCAT DR A SANTOS AVENUE BRGY SAN DIONISIO PARAÃ‘AQUE METRO MANILA,(02) 8833-2028 / 8553-5661 / 7576-5220
567,THE MEDICAL CITY CLINIC (SM STA. MESA BRANCH),ANNEX BUILDING SM STA MESA R MAGSAYSAY BLVD COR ARANETA AVENUE BRGY DONA IMELDA  MANILA METRO MANILA,(02) 8255-2484 / 8255-3390 TO 92
568,STO. DOMINGO DIAGNOSTIC & MEDICAL CENTER CORP. (CAVITE BRANCH),"2ND FLOOR RTA BLDG,. GENERAL TRIAS DRIVE, TEJEROS  ROSARIO CAVITE",(046) 437-9463
569,STO. DOMINGO DIAGNOSTIC & MEDICAL CENTER CORP. (MANDALUYONG BRANCH),"STARMALL EDSA, SHAW BOULEVARD CORNER EDSA  MANDALUYONG CITY METRO MANILA",(02) 654-4651
570,OUR LADY OF GRACE HOSPITAL INC.,8TH AVENUE CORNER F ROXAS STREET  GRACE PARK WEST CALOOCAN CITY METRO MANILA,(02) 8361-1124
571,BINANGONAN LAKEVIEW HOSPITAL INC.,MANILA EAST ROAD BARANGAY TAGPOS  BINANGONAN RIZAL,(02) 8570-0791
572,ANTIPOLO DOCTORS HOSPITAL,M L QUEZON AVENUE EXTENSION BARANGAY DALIG  ANTIPOLO CITY RIZAL,(02) 8697-2006/8650-8269 LOC 115 / 107
573,CYGNETMED HEALTH SYSTEM ,"UNIT I HS BERON TRICENTER BUILDING, NATIONAL HIGHWAY BRGY. TAGAPO SANTA ROSA CITY LAGUNA",(049) 534-4231
574,"RG MEDICAL CLINIC, INC.",1692 EVANGELISTA STREET  MAKATI CITY METRO MANILA,(02) 8843-2645/8844-1392/8889-1264
575,ORTHOPEDIC REHAB INSTITUTE OF MINDANAO INC.,GUSA  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 856-4730
576,HOLY NAME UNIVERSITY MEDICAL CENTER INC.,J A CLARIN ST.  TAGBILARAN CITY BOHOL,(038) 501-9946
577,THE MEDICAL CITY CLINIC (MARIKINA - IL CENTRO BRANCH),GROUND LEVEL STA LUCIA RESIDENZE MALL UNIT G19 - G21 MARCOS HIGHWAY COR FELIX AVE   CAINTA RIZAL,(02) 8532-2557 / 8532-2651
578,THE MEDICAL CITY CLINIC (SM - LIGHT MALL BRANCH),2/F SM LIGHT MALL EDSA COR MADISON AVE BRGY. BARANGKA ILAYA MANDALUYONG CITY METRO MANILA,(02) 8696-3372 / 8696-3622
579,ONE HEALTH MEDICAL SERVICES INC.,ANDREWS AVENUE MIAA ZONE  DOMESTIC AIRPORT PASAY CITY METRO MANILA,(02) 8938-6680 TO 81
580,"BALANCE, EQUILIBRIUM & DIZZINESS CENTER INC.","ROOM 201 CEBU LONG SE TEMPLE, JASMINE STREET, OSMENA BLVD. CAPITOL SITE CEBU CITY CEBU",(032) 513-0492
581,MC LAB HEALTH CARE SOLUTIONS INC.,UPPER GROUND FLOOR WORLD CORPORATE CENTER  SHAW BOULEVARD MANDALUYONG CITY METRO MANILA,(02) 451-0039
582,SINILOAN PIONEER GENERAL HOSPITAL INC.,STREET M ACEVIDA  BARANGAY  L DE LEON  SINILOAN LAGUNA,(049) 576-2989 / 523-0235
583,ST. ELSEWHERE MEDICAL AND DIAGNOSTIC CLINIC,#10 & 11 1ST FLOOR STA CECILIA BUSINESS CENTER 1 NATIONAL HIGHWAY PARIAN CALAMBA CITY  CALAMBA CITY LAGUNA,(049) 543-0838
584,MEDICINA DIAGNOSTIC FACILITY,"3RD FLOOR ANNEX NORTHRIDGE PLAZA, 12 CONGRESSIONAL AVENUE  QUEZON CITY METRO MANILA",(02) 294-3394
585,LCM MEDICAL LAB,"VENEZIA BLDG., ARANETA STREET BRGY. SUM-AG BACOLOD CITY NEGROS OCCIDENTAL",(034) 704-2902
586,THE MEDICAL CITY CLINIC (FISHER MALL BRANCH),3/F LA 2B FISHER MALL 42 GENERAL LIM STREET STA CRUZ 1 QUEZON CITY METRO MANILA,(02) 8287-5752 / 8287-5820 / 8287-5721 / 8287-5764
587,EMILIO AGUINALDO COLLEGE MEDICAL CENTER,EMILIO AGUINALDO HIGHWAY BRGY. SALITRAN II  DASMARIÃ‘AS CAVITE,(046) 416-3010
588,HOSPITAL OF THE INFANT JESUS MEDICAL CENTER,1556 LAONG LAAN ST. SAMPALOC MANILA METRO MANILA,(02)8731-2771 - NO PHIC IN OPHTHA FOR YEAR 2022
589,AQUINO MEDICAL SPECIALISTS HOSPITAL INC,8100 MABINI STREET MAGUGPO SOUTH TAGUM CITY DAVAO DEL NORTE,(082) 216-2156/(082) 216-2157
